step,loss,steps_per_s,lr
66200,0.00947,3.74,7.55e-05
66300,0.01040,3.73,7.55e-05
66400,0.01155,3.93,7.54e-05
66500,0.01024,3.45,7.53e-05
66600,0.01071,3.93,7.53e-05
66700,0.00989,3.77,7.52e-05
66800,0.01007,3.98,7.51e-05
66900,0.00953,3.59,7.51e-05
67000,0.00995,3.87,7.50e-05
67100,0.01014,3.71,7.49e-05
67200,0.01016,4.02,7.49e-05
67300,0.01043,3.60,7.48e-05
67400,0.00967,3.86,7.47e-05
67500,0.01042,3.70,7.47e-05
67600,0.01023,4.00,7.46e-05
67700,0.01122,3.61,7.45e-05
67800,0.01005,3.90,7.45e-05
67900,0.00930,3.78,7.44e-05
68000,0.01092,3.90,7.43e-05
68100,0.00968,3.48,7.42e-05
68200,0.01055,3.91,7.42e-05
68300,0.01014,3.65,7.41e-05
68400,0.00997,3.79,7.40e-05
68500,0.01041,3.57,7.40e-05
68600,0.00978,3.73,7.39e-05
68700,0.01005,3.59,7.38e-05
68800,0.01003,3.78,7.38e-05
68900,0.01003,3.44,7.37e-05
69000,0.01036,3.83,7.36e-05
69100,0.01046,3.79,7.36e-05
69200,0.00961,3.96,7.35e-05
69300,0.00945,3.65,7.34e-05
69400,0.00962,4.01,7.33e-05
69500,0.00984,3.79,7.33e-05
69600,0.00998,4.04,7.32e-05
69700,0.00858,3.62,7.31e-05
69800,0.00929,3.99,7.31e-05
69900,0.00978,3.86,7.30e-05
70000,0.00951,4.03,7.29e-05
70100,0.00988,3.80,7.29e-05
70200,0.00940,4.06,7.28e-05
70300,0.00936,3.93,7.27e-05
70400,0.01060,4.07,7.26e-05
70500,0.01021,3.71,7.26e-05
70600,0.00900,4.03,7.25e-05
70700,0.01011,3.90,7.24e-05
70800,0.01084,4.07,7.24e-05
70900,0.00986,3.61,7.23e-05
71000,0.00978,3.94,7.22e-05
71100,0.00973,3.86,7.22e-05
71200,0.01038,3.89,7.21e-05
71300,0.01017,3.48,7.20e-05
71400,0.00927,3.87,7.19e-05
71500,0.00878,3.75,7.19e-05
71600,0.00963,3.96,7.18e-05
71700,0.00906,3.60,7.17e-05
71800,0.00996,3.82,7.17e-05
71900,0.00879,3.75,7.16e-05
72000,0.01006,4.03,7.15e-05
72100,0.00839,3.62,7.14e-05
72200,0.00966,3.96,7.14e-05
72300,0.00932,3.79,7.13e-05
72400,0.01004,3.99,7.12e-05
72500,0.00923,3.59,7.12e-05
72600,0.00975,3.88,7.11e-05
72700,0.00996,3.74,7.10e-05
72800,0.00896,3.97,7.09e-05
72900,0.00903,3.58,7.09e-05
73000,0.00886,3.84,7.08e-05
73100,0.00923,3.69,7.07e-05
73200,0.00936,4.00,7.07e-05
73300,0.00918,3.69,7.06e-05
73400,0.00910,4.04,7.05e-05
