step,loss,steps_per_s,lr
36300,0.02003,3.56,9.23e-05
36400,0.01860,3.86,9.22e-05
36500,0.01994,3.46,9.22e-05
36600,0.02002,3.80,9.21e-05
36700,0.02129,3.59,9.21e-05
36800,0.02008,3.73,9.21e-05
36900,0.02012,3.33,9.20e-05
37000,0.02056,3.55,9.20e-05
37100,0.01850,3.40,9.19e-05
37200,0.02066,3.72,9.19e-05
37300,0.02032,3.36,9.18e-05
37400,0.01903,3.56,9.18e-05
37500,0.02065,3.47,9.18e-05
37600,0.01925,3.70,9.17e-05
37700,0.01862,3.33,9.17e-05
37800,0.01966,3.59,9.16e-05
37900,0.02083,3.49,9.16e-05
38000,0.01888,3.75,9.15e-05
38100,0.01949,3.45,9.15e-05
38200,0.01936,3.76,9.14e-05
38300,0.01937,3.58,9.14e-05
38400,0.01932,3.87,9.14e-05
38500,0.01953,3.41,9.13e-05
38600,0.02014,3.77,9.13e-05
38700,0.01984,3.62,9.12e-05
38800,0.02034,4.03,9.12e-05
38900,0.01940,3.42,9.11e-05
39000,0.01957,3.58,9.11e-05
39100,0.02005,3.62,9.10e-05
39200,0.02030,3.79,9.10e-05
39300,0.01955,3.40,9.10e-05
39400,0.01869,3.49,9.09e-05
39500,0.02053,3.40,9.09e-05
39600,0.02056,3.75,9.08e-05
39700,0.01995,3.39,9.08e-05
39800,0.02062,3.58,9.07e-05
39900,0.01940,3.58,9.07e-05
40000,0.01879,3.71,9.06e-05
40100,0.02045,3.49,9.06e-05
40200,0.01970,3.63,9.05e-05
40300,0.01951,3.70,9.05e-05
40400,0.01938,3.91,9.05e-05
40500,0.01945,3.51,9.04e-05
40600,0.01958,3.80,9.04e-05
40700,0.01864,3.70,9.03e-05
40800,0.02008,3.91,9.03e-05
40900,0.01911,3.30,9.02e-05
41000,0.01924,3.72,9.02e-05
41100,0.01844,3.55,9.01e-05
41200,0.01873,3.71,9.01e-05
41300,0.01882,3.36,9.00e-05
41400,0.01919,3.63,9.00e-05
41500,0.01893,3.49,8.99e-05
41600,0.01888,3.74,8.99e-05
41700,0.01883,3.40,8.98e-05
41800,0.01874,3.70,8.98e-05
41900,0.02048,3.54,8.97e-05
42000,0.01987,3.77,8.97e-05
42100,0.01768,3.42,8.96e-05
42200,0.01926,3.68,8.96e-05
42300,0.01910,3.48,8.96e-05
42400,0.01880,3.82,8.95e-05
42500,0.01841,3.49,8.95e-05
42600,0.01987,3.73,8.94e-05
42700,0.01843,3.35,8.94e-05
42800,0.01810,3.76,8.93e-05
42900,0.01886,3.40,8.93e-05
43000,0.01849,3.75,8.92e-05
43100,0.01861,3.47,8.92e-05
43200,0.01864,3.78,8.91e-05
43300,0.01895,3.37,8.91e-05
43400,0.01732,3.69,8.90e-05
43500,0.01778,3.53,8.90e-05
43600,0.01876,3.68,8.89e-05
43700,0.01939,3.47,8.89e-05
43800,0.01885,3.79,8.88e-05
43900,0.01894,3.66,8.88e-05
